,ID Iklan,Merk,Model,Tahun,Jenis,Pintu,Kapasitas,Transmisi,BBM,Tipe Penjual,Boleh Nego,Test Drive,Loc,Price,Kilometer,CC Mesin,Airbags,Tenaga mesin,Jumlah Gigi
12220,99641,Toyota,Vios 1.5 G,2006,Sedan,4,5 penumpang,Manual,Bensin,Owner,No,No,Jakarta Selatan,65.500.000,,1500,,,
12221,99640,Mitsubishi,,2014,Truck,2,2 penumpang,Manual,Diesel,Owner,Yes,Yes,Jakarta Utara,235.000.000,70000,3908,,,5
12222,99639,Mitsubishi,Xpander,2017,,4,7 penumpang,Manual,Bensin,Owner,No,No,Jakarta Timur,205.000.000,10500,1500,2,,5
12223,99638,Toyota,Fortuner 2.5 G AT,2015,SUV,5,,Matic,Bensin,Owner,Yes,No,Bandung,18.000.000,35000,1500,2,1500 HP,6
12224,99637,Honda,HR-V,2017,MPV,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,325.000.000,16,18,4,18 HP,2
12225,99636,Toyota,Camry,2014,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,265.000.000,70000,2500,,,
12226,99635,Kia,Picanto,,City Car,,,Manual,Bensin,Owner,Yes,Yes,Banda Aceh,96.000.000,65000,1250,2,,5
12227,99634,Honda,HR-V,2017,SUV,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,295.000.000,36000,1800,,,
12228,99633,Mercedes-Benz,E 300 Avg,2017,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,1.015.000.000,8000,3000,,,
12229,99632,Toyota,Fortuner VRZ,2016,SUV,5,7 penumpang,Matic,Diesel,Owner,Yes,Yes,Depok,385.000.000,57000,2500,4,,
12230,99631,Ford,Fiesta,2012,Hatcback,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,97.000.000,70000,1400,,,
12231,99630,Toyota,Yaris,2014,Convertible,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Pusat,155.000.000,60000,1500,,,
12232,99629,Toyota,Rush,2014,SUV,4,5 penumpang,Manual,Bensin,Owner,No,No,Jakarta Selatan,161.000.000,50000,1500,,,
12233,99628,Daihatsu,Sigra,2017,MPV,5,7 penumpang,Matic,Bensin,Owner,Yes,No,Jakarta Utara,110.000.000,22000,1200,2,,
12234,99627,Toyota,Kijang Innova G 2.0,2009,Minibus,5,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,115.000.000,22,2000,2,,
12235,99626,Honda,CR-V,2015,SUV,4,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,270.000.000,60,20,4,20 HP,2
12236,99625,Daihatsu,Terios TX,2010,SUV,4,7 penumpang,Manual,Bensin,Owner,No,No,Jakarta Utara,112.500.000,,1500,,,
12237,99624,Toyota,Kijang Innova V 2.5,2014,SUV,4,7 penumpang,Manual,Diesel,Owner,Yes,Yes,Sleman,250.000.000,68,25,4,25 HP,5
12238,99623,Toyota,Avanza 1.3 G,2015,SUV,4,7 penumpang,Manual,Bensin,Owner,Yes,No,Jakarta Timur,155.000.000,60000,1300,2,1300 HP,5
12239,99622,Toyota,Camry,2012,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Pusat,239.000.000,65000,2500,,,
12240,99621,Nissan,Serena,2004,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,75.000.000,,2000,,,
12241,99620,Daihatsu,Zebra,1990,Minibus,4,5 penumpang,Manual,Bensin,Owner,Yes,No,Bogor,22.000.000,16123,1300,,,5
12242,99619,Nissan,X-Trail,2009,SUV,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,117.000.000,,2000,,,
12243,99618,Toyota,Kijang Innova G 2.5,2014,Minibus,4,7 penumpang,Manual,Diesel,Owner,No,No,Jakarta Selatan,238.000.000,50000,2500,,,
12244,99617,Toyota,Camry New 2.4 V,2010,Sedan,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,142.000.000,,2400,,,
12245,99616,Ford,Fiesta,2012,Hatcback,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,93.000.000,63000,1400,,,
12246,99615,Toyota,,1995,Minibus,4,5 penumpang,Manual,Bensin,Owner,Yes,No,Padang,49.500.000,,,,,5
12247,99614,Toyota,Kijang Innova G 2.0,2010,Minibus,4,7 penumpang,Manual,Bensin,Owner,No,No,Jakarta Utara,138.000.000,84000,2000,,,
12248,99613,,,1995,,4,5 penumpang,Manual,Bensin,Owner,Yes,No,Padang,49.500.000,,,,,
12249,99612,Toyota,Dyna,1990,Truck,2,2 penumpang,Manual,Diesel,Owner,Yes,No,Bogor Kabupaten,40.000.000,,,,,6
12250,99611,Honda,Jazz,2008,Minibus,5,5 penumpang,Matic,Bensin,Owner,Yes,Yes,Pati,111.000.000,120,1500,2,1500 HP,6
12251,99610,Nissan,Grand Livina,2013,MPV,4,7 penumpang,Manual,Bensin,Owner,No,No,Jakarta Selatan,109.000.000,50000,1500,,,
12252,99609,Chevrolet,Spectrum,2013,MPV,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,96.000.000,,1500,,,
12253,99608,Toyota,Fortuner,2007,SUV,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,156.000.000,,2700,,,
12254,99607,Toyota,Kijang Innova G 2.0,2015,SUV,4,7 penumpang,Matic,Bensin,Owner,Yes,Yes,Sleman,209.000.000,37,20,4,20 HP,2
12255,99606,Daihatsu,Feroza,1995,Jip,3,5 penumpang,Manual,Bensin,Owner,Yes,Yes,Jakarta Timur,45.000.000,100000,1600,,,
12256,99605,Toyota,Kijang Innova G 2.5,2015,MPV,5,7 penumpang,Matic,Diesel,Owner,Yes,Yes,Jakarta Timur,245.000.000,60000,2500,,,
12257,99604,,,,,,,Manual,Bensin,Owner,No,No,Jakarta Timur,76.000.000,,,,,
12258,99603,,,,,,,Manual,Bensin,Owner,No,No,Jakarta Utara,132.000.000,,,,,
12259,99602,Toyota,Alphard,2009,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,275.000.000,78000,2400,,,
12260,99601,Toyota,Fortuner 2.7 G Lux,2008,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Pusat,165.000.000,160000,2700,,,
12261,99600,,,,,,,Manual,Bensin,Owner,No,No,Jakarta Utara,149.000.000,,,,,
12262,99599,,,,,,,Manual,Bensin,Owner,No,No,Jakarta Utara,159.000.000,,,,,
12263,99598,Toyota,Kijang Innova G 2.0,2015,Minibus,4,7 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,225.000.000,17000,2000,,,
12264,99597,Honda,Jazz,2004,Hatcback,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,76.000.000,,1500,,,
12265,99596,Toyota,Corolla Altis,2011,Sedan,4,2 penumpang,Manual,Bensin,Owner,Yes,No,Depok,119.500.000,59000,1800,,,7
12266,99595,Toyota,Yaris,2015,Minibus,4,2 penumpang,Manual,Bensin,Owner,Yes,No,Surabaya,175.000.000,13,1497,2,1500 HP,5
12267,99594,Mitsubishi,Mirage,2015,Hatcback,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Selatan,117.000.000,35000,1200,2,,4
12268,99593,Toyota,Avanza 1.3 G,2008,Minibus,4,7 penumpang,Manual,Bensin,Owner,Yes,No,Palembang,89.000.000,172,1,3,,5
12269,99592,Honda,CR-V,2013,SUV,5,5 penumpang,Matic,Bensin,Owner,Yes,No,Jakarta Barat,275.000.000,43000,2000,2,,
12270,99591,Peugeot,206,2001,Hatcback,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Timur,42.000.000,,1400,,,
12271,99590,Toyota,Agya,2017,City Car,4,5 penumpang,Matic,Bensin,Owner,No,No,Jakarta Utara,111.500.000,5000,1000,,,
